	sex	Age	major group3	year	gpax	Region	previous-edu	uni-activity	influ-major	influ-people	influ-wellknown	influ-quality	influ-careermarket	TYPE
104	2	3	7	4	2	3	1	1	1	2	2	0	2	13
105	2	3	6	1	4	3	1	1	2	0	2	0	2	8
106	2	3	6	2	1	3	1	0	2	2	2	2	2	3
107	2	3	3	3	4	3	2	1	0	0	0	2	0	4
108	2	0	0	0	1	3	1	1	2	2	2	0	2	2
109	1	3	4	3	1	3	1	1	0	2	0	2	2	7
110	2	3	0	2	1	3	1	1	2	2	0	2	0	6
111	1	3	1	4	1	3	2	0	2	0	2	0	2	14
112	2	3	3	4	1	3	1	1	2	2	2	0	2	4
113	2	3	3	4	1	5	2	1	2	2	0	2	0	6
114	2	1	3	0	1	1	2	1	2	0	0	2	0	2
115	2	3	1	1	4	0	1	1	2	2	2	0	0	6
116	2	3	3	2	4	0	1	1	2	2	2	2	2	1
117	2	3	3	3	2	2	1	1	0	2	2	0	0	4
118	2	3	5	4	1	2	5	1	0	2	0	2	2	6
119	1	1	7	0	1	2	1	1	2	2	0	2	2	4
120	1	3	7	3	1	0	1	1	2	2	2	2	2	11
121	2	3	2	1	1	2	1	1	2	2	2	0	0	7
122	1	3	0	2	1	0	1	1	2	2	2	0	0	3
123	1	3	0	2	4	0	1	0	0	2	2	0	0	1
124	2	3	0	3	1	0	1	1	2	2	1	2	2	2
125	0	3	0	4	1	0	1	1	0	2	0	2	2	4
126	1	3	7	1	1	0	1	1	2	2	2	2	0	1
127	2	3	3	2	1	5	2	1	2	0	0	0	0	2
128	1	3	5	3	1	2	1	1	2	0	0	0	2	3
129	1	3	0	4	1	0	1	1	0	0	0	0	0	14
130	1	3	1	3	1	2	2	1	2	2	0	0	0	4
131	2	3	3	2	1	4	1	1	2	2	2	2	0	4
132	0	3	5	4	4	5	1	1	2	0	2	0	2	3
133	1	3	0	3	4	0	1	0	2	2	2	0	0	6
134	1	3	5	1	4	0	1	1	0	2	1	2	2	2
135	1	3	3	4	1	0	1	1	2	0	2	0	0	12
136	2	3	3	3	1	0	1	1	2	2	2	2	2	9
137	0	0	0	0	1	0	1	1	2	0	0	2	0	7
138	2	3	1	1	4	2	1	1	2	0	2	0	2	13
139	2	0	1	0	1	0	1	1	2	2	2	2	2	7
140	1	3	0	2	4	0	1	1	1	1	2	2	2	5
141	2	3	0	4	1	0	1	1	2	2	0	2	2	6
142	2	3	3	4	1	1	2	1	0	2	0	0	0	10
143	2	3	3	4	1	0	1	1	2	0	2	0	0	7
144	1	3	7	3	1	0	1	1	2	2	2	0	0	12
145	0	3	7	3	1	0	1	1	2	0	2	2	2	7
146	1	3	2	4	1	0	1	1	2	2	2	0	2	3
147	1	3	4	4	1	2	1	1	0	0	0	2	2	6
148	1	3	4	3	4	2	1	1	2	0	0	2	2	12
149	1	3	4	3	4	2	2	1	2	0	2	2	0	2
150	2	3	3	2	4	2	2	1	0	0	2	0	0	4
151	2	3	3	4	1	2	2	1	0	0	2	0	0	3
152	0	3	0	4	1	0	1	1	0	2	2	2	0	7
153	0	3	1	4	2	2	5	1	0	2	0	0	0	6
154	1	3	4	1	1	0	2	1	0	0	0	0	0	4
155	0	0	7	2	1	2	5	1	0	0	0	0	2	6
156	1	3	3	3	2	2	2	1	0	2	0	0	0	6
157	2	3	6	3	4	2	3	1	0	1	0	2	2	10
158	2	0	3	3	2	2	5	1	0	2	0	2	0	4
159	2	3	4	2	1	0	2	1	0	0	0	0	0	2
160	2	3	1	1	2	0	1	0	1	2	0	2	0	1
